epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.375,0.68429,5.95007,3.90353,0.39508,0.02986,0.01107,0.00298,0.51397,3.02353,2.95392,0.00332405,0.00332405,0.00332405
2,131.298,0.44023,3.30505,2.41377,0.92822,0.05416,0.04685,0.01603,0.37146,2.1762,2.11072,0.0066442,0.0066442,0.0066442
3,187.161,0.35967,2.56818,1.90322,0.52379,0.08266,0.06611,0.02561,0.31317,1.9946,1.80835,0.00995115,0.00995115,0.00995115
4,241.918,0.3217,2.18628,1.71823,0.24684,0.09116,0.06716,0.02732,0.30098,1.82821,1.73811,0.0099406,0.0099406,0.0099406
5,298.48,0.30005,1.91782,1.61608,0.32191,0.11914,0.10126,0.04402,0.27415,1.60782,1.59135,0.0099208,0.0099208,0.0099208
6,356.233,0.28473,1.74015,1.54378,0.31818,0.11999,0.10786,0.04609,0.27813,1.57911,1.62032,0.009901,0.009901,0.009901
7,412.279,0.27482,1.60928,1.49875,0.2715,0.14729,0.1267,0.05558,0.26854,1.48083,1.5507,0.0098812,0.0098812,0.0098812
8,469.552,0.26841,1.53843,1.46986,0.35161,0.16517,0.14494,0.06435,0.24925,1.36537,1.48706,0.0098614,0.0098614,0.0098614
9,524.423,0.26238,1.46882,1.44249,0.29274,0.17085,0.14934,0.06818,0.25102,1.40555,1.48715,0.0098416,0.0098416,0.0098416
10,579.17,0.25915,1.42631,1.4306,0.36019,0.19008,0.16608,0.07469,0.23966,1.28521,1.4414,0.0098218,0.0098218,0.0098218
11,635.2,0.2564,1.38488,1.41787,0.37011,0.18217,0.16676,0.07437,0.24796,1.31948,1.46293,0.009802,0.009802,0.009802
12,688.104,0.25324,1.35661,1.40032,0.28006,0.19693,0.17122,0.07685,0.24873,1.396,1.4572,0.0097822,0.0097822,0.0097822
13,744.488,0.24929,1.33173,1.38391,0.33687,0.22498,0.21167,0.09544,0.23511,1.23471,1.40837,0.0097624,0.0097624,0.0097624
14,798.822,0.24758,1.29835,1.38113,0.28568,0.25909,0.2058,0.09178,0.24283,1.27893,1.43567,0.0097426,0.0097426,0.0097426
15,854.874,0.24592,1.28201,1.37208,0.2844,0.26131,0.22179,0.1033,0.22803,1.19544,1.38478,0.0097228,0.0097228,0.0097228
16,911.095,0.24514,1.27002,1.36421,0.28899,0.26669,0.22327,0.10027,0.22801,1.18395,1.3854,0.009703,0.009703,0.009703
17,965.636,0.24294,1.25897,1.35639,0.28839,0.27439,0.22084,0.10381,0.23055,1.19394,1.39192,0.0096832,0.0096832,0.0096832
18,1023.04,0.24103,1.23936,1.35929,0.34977,0.23699,0.21655,0.10147,0.22986,1.1832,1.38522,0.0096634,0.0096634,0.0096634
19,1078.07,0.23912,1.22846,1.34138,0.33281,0.25132,0.23492,0.10602,0.22556,1.15155,1.37197,0.0096436,0.0096436,0.0096436
20,1134.53,0.23906,1.22964,1.34919,0.37591,0.29463,0.24696,0.11486,0.22561,1.1463,1.36272,0.0096238,0.0096238,0.0096238
21,1191.66,0.23777,1.21714,1.34229,0.36684,0.24313,0.24065,0.1159,0.22392,1.1496,1.3609,0.009604,0.009604,0.009604
22,1247.86,0.23567,1.19634,1.3336,0.34549,0.28246,0.26272,0.12579,0.22082,1.12336,1.35004,0.0095842,0.0095842,0.0095842
23,1304.76,0.23562,1.18504,1.33279,0.39831,0.25528,0.23688,0.10709,0.22218,1.13253,1.35649,0.0095644,0.0095644,0.0095644
24,1358.65,0.23409,1.18531,1.32182,0.37523,0.27448,0.25407,0.12232,0.21925,1.10803,1.34903,0.0095446,0.0095446,0.0095446
